,gdp
1946-03-31,
1946-06-30,
1946-09-30,
1946-12-31,
1947-03-31,243.164
1947-06-30,245.968
1947-09-30,249.585
1947-12-31,259.745
1948-03-31,265.742
1948-06-30,272.567
1948-09-30,279.196
1948-12-31,280.366
1949-03-31,275.034
1949-06-30,271.351
1949-09-30,272.889
1949-12-31,270.627
1950-03-31,280.828
1950-06-30,290.383
1950-09-30,308.153
1950-12-31,319.945
1951-03-31,336.0
1951-06-30,344.09
1951-09-30,351.385
1951-12-31,356.178
1952-03-31,359.82
1952-06-30,361.03
1952-09-30,367.701
1952-12-31,380.812
1953-03-31,387.98
1953-06-30,391.749
1953-09-30,391.171
1953-12-31,385.97
1954-03-31,385.345
1954-06-30,386.121
1954-09-30,390.996
1954-12-31,399.734
1955-03-31,413.073
1955-06-30,421.532
1955-09-30,430.221
1955-12-31,437.092
1956-03-31,439.746
1956-06-30,446.01
1956-09-30,451.191
1956-12-31,460.463
1957-03-31,469.779
1957-06-30,472.025
1957-09-30,479.49
1957-12-31,474.864
1958-03-31,467.54
1958-06-30,471.978
1958-09-30,485.841
1958-12-31,499.555
1959-03-31,510.33
1959-06-30,522.653
1959-09-30,525.034
1959-12-31,528.6
1960-03-31,542.648
1960-06-30,541.08
1960-09-30,545.604
1960-12-31,540.197
1961-03-31,545.018
1961-06-30,555.545
1961-09-30,567.664
1961-12-31,580.612
1962-03-31,594.013
1962-06-30,600.366
1962-09-30,609.027
1962-12-31,612.28
1963-03-31,621.672
1963-06-30,629.752
1963-09-30,644.444
1963-12-31,653.938
1964-03-31,669.822
1964-06-30,678.674
1964-09-30,692.031
1964-12-31,697.319
1965-03-31,717.79
1965-06-30,730.191
1965-09-30,749.323
1965-12-31,771.857
1966-03-31,795.734
1966-06-30,804.981
1966-09-30,819.638
1966-12-31,833.302
1967-03-31,844.17
1967-06-30,848.983
1967-09-30,865.233
1967-12-31,881.439
1968-03-31,909.387
1968-06-30,934.344
1968-09-30,950.825
1968-12-31,968.03
1969-03-31,993.337
1969-06-30,1009.02
1969-09-30,1029.956
1969-12-31,1038.147
1970-03-31,1051.2
1970-06-30,1067.375
1970-09-30,1086.059
1970-12-31,1088.608
1971-03-31,1135.156
1971-06-30,1156.271
1971-09-30,1177.675
1971-12-31,1190.297
1972-03-31,1230.609
1972-06-30,1266.369
1972-09-30,1290.566
1972-12-31,1328.904
1973-03-31,1377.49
1973-06-30,1413.887
1973-09-30,1433.838
1973-12-31,1476.289
1974-03-31,1491.209
1974-06-30,1530.056
1974-09-30,1560.026
1974-12-31,1599.679
1975-03-31,1616.116
1975-06-30,1651.853
1975-09-30,1709.82
1975-12-31,1761.831
1976-03-31,1820.487
1976-06-30,1852.332
1976-09-30,1886.558
1976-12-31,1934.273
1977-03-31,1988.648
1977-06-30,2055.909
1977-09-30,2118.473
1977-12-31,2164.27
1978-03-31,2202.76
1978-06-30,2331.633
1978-09-30,2395.053
1978-12-31,2476.949
1979-03-31,2526.61
1979-06-30,2591.247
