0,Macro_Score
,-1
1946-03-31,-1
1946-06-30,-1
1946-09-30,-1
1946-12-31,-1
1947-03-31,-1
1947-06-30,-1
1947-09-30,-1
1947-12-31,-1
1948-03-31,1
1948-06-30,1
1948-09-30,1
1948-12-31,1
1949-03-31,1
1949-06-30,-1
1949-09-30,-1
1949-12-31,-1
1950-03-31,1
1950-06-30,1
1950-09-30,1
1950-12-31,1
1951-03-31,1
1951-06-30,1
1951-09-30,1
1951-12-31,1
1952-03-31,1
1952-06-30,1
1952-09-30,1
1952-12-31,1
1953-03-31,1
1953-06-30,1
1953-09-30,1
1953-12-31,1
1954-03-31,-1
1954-06-30,-1
1954-09-30,-1
1954-12-31,1
1955-03-31,1
1955-06-30,1
1955-09-30,1
1955-12-31,1
1956-03-31,1
1956-06-30,1
1956-09-30,1
1956-12-31,1
1957-03-31,1
1957-06-30,1
1957-09-30,1
1957-12-31,1
1958-03-31,-1
1958-06-30,-1
1958-09-30,1
1958-12-31,1
1959-03-31,1
1959-06-30,1
1959-09-30,1
1959-12-31,1
1960-03-31,1
1960-06-30,1
1960-09-30,1
1960-12-31,1
1961-03-31,1
1961-06-30,1
1961-09-30,1
1961-12-31,1
1962-03-31,1
1962-06-30,1
1962-09-30,1
1962-12-31,1
1963-03-31,1
1963-06-30,1
1963-09-30,1
1963-12-31,1
1964-03-31,1
1964-06-30,1
1964-09-30,1
1964-12-31,1
1965-03-31,1
1965-06-30,1
1965-09-30,1
1965-12-31,1
1966-03-31,1
1966-06-30,1
1966-09-30,1
1966-12-31,1
1967-03-31,1
1967-06-30,1
1967-09-30,1
1967-12-31,1
1968-03-31,1
1968-06-30,1
1968-09-30,1
1968-12-31,1
1969-03-31,1
1969-06-30,1
1969-09-30,1
1969-12-31,1
1970-03-31,1
1970-06-30,1
1970-09-30,1
1970-12-31,1
1971-03-31,1
1971-06-30,1
1971-09-30,1
1971-12-31,1
1972-03-31,1
1972-06-30,1
1972-09-30,1
1972-12-31,1
1973-03-31,1
1973-06-30,1
1973-09-30,1
1973-12-31,1
1974-03-31,1
1974-06-30,1
1974-09-30,1
1974-12-31,1
