Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2015-01-02,,,,,,,,,,,
2015-01-05,,,,,,,,,,,
2015-01-06,,,,,,,,,,,
2015-01-07,,,,,,,,,,,
2015-01-08,,,,,,,,,,,
2015-01-09,,,,,,,,,,,
2015-01-12,,,,,,,,,,,
2015-01-13,,,,,,,,,,,
2015-01-14,,,,,,,,,,,
2015-01-15,,,,,,,,,,,
2015-01-16,,,,,,,,,,,
2015-01-20,,,,,,,,,,,
2015-01-21,,,,,,,,,,,
2015-01-22,,,,,,,,,,,
2015-01-23,,,,,,,,,,,
2015-01-26,,,,,,,,,,,
2015-01-27,,,,,,,,,,,
2015-01-28,,,,,,,,,,,
2015-01-29,,,,,,,,,,,
2015-01-30,,,,,,,,,,,
2015-02-02,,,,,,,,,,,
2015-02-03,,,,,,,,,,,
2015-02-04,,,,,,,,,,,
2015-02-05,,,,,,,,,,,
2015-02-06,,,,,,,,,,,
2015-02-09,,,,,,,,,,,
2015-02-10,,,,,,,,,,,
2015-02-11,,,,,,,,,,,
2015-02-12,,,,,,,,,,,
2015-02-13,,,,,,,,,,,
2015-02-17,,,,,,,,,,,
2015-02-18,,,,,,,,,,,
2015-02-19,,,,,,,,,,,
2015-02-20,,,,,,,,,,,
2015-02-23,,,,,,,,,,,
2015-02-24,,,,,,,,,,,
2015-02-25,,,,,,,,,,,
2015-02-26,,,,,,,,,,,
2015-02-27,,,,,,,,,,,
2015-03-02,,,,,,,,,,,
2015-03-03,,,,,,,,,,,
2015-03-04,,,,,,,,,,,
2015-03-05,,,,,,,,,,,
2015-03-06,,,,,,,,,,,
2015-03-09,,,,,,,,,,,
2015-03-10,,,,,,,,,,,
2015-03-11,,,,,,,,,,,
2015-03-12,,,,,,,,,,,
2015-03-13,,,,,,,,,,,
2015-03-16,,,,,,,,,,,
2015-03-17,,,,,,,,,,,
2015-03-18,,,,,,,,,,,
2015-03-19,,,,,,,,,,,
2015-03-20,,,,,,,,,,,
2015-03-23,,,,,,,,,,,
2015-03-24,,,,,,,,,,,
2015-03-25,,,,,,,,,,,
2015-03-26,,,,,,,,,,,
2015-03-27,,,,,,,,,,,
2015-03-30,,,,,,,,,,,
2015-03-31,,,,,,,,,,,
2015-04-01,,,,,,,,,,,
2015-04-02,,,,,,,,,,,
2015-04-06,0.01843152526872971,,0.001604169703623759,-0.01574898715564077,-0.007137961037740892,0.016257625308318646,0.03047027357229659,,-0.040353170972255104,0.053499348459904894,0.0652719465125493
2015-04-07,0.04337426265244604,,0.04548731101470804,1.5378649560471302e-06,0.014242599508220488,0.02978840789840298,0.032948418081959696,,-0.039659294071092144,0.06139665626456492,0.08004517919508092
2015-04-08,0.055690627306509866,,0.05249695061670545,0.01931094433408198,0.03039650968687746,0.0456072315429612,0.035919335356797255,,-0.04306805048574802,0.0739726395763931,0.10115606829374402
2015-04-09,0.04687352162745606,,0.06711134377307593,0.010399125946039867,0.02764311843273859,0.039555016503473706,0.021390309140104424,,-0.056408936417387534,0.05722078251631024,0.08500783523236755
2015-04-10,0.02544630055877173,,0.04825918971229326,-0.004888556743054995,0.02163135311233022,0.02107887914141071,0.007952636500754506,,-0.05596387264047964,0.04837910326580919,0.07260817060663372
2015-04-13,0.02659510656504893,,0.04608540633356473,0.012471955406498925,0.022903199578538924,0.021375673898142766,0.011450810862275729,,-0.05934640072857189,0.05207249774525158,0.07922255877904827
2015-04-14,0.03329899558424043,,0.09653147904687964,0.0209375059678667,0.03124333932104162,0.030199033647936524,0.016810301223498136,,-0.05246646310075587,0.05333676742842486,0.08446956219166557
2015-04-15,0.05507489580203706,,0.1317376612637171,0.028152393391324138,0.03513710915108814,0.04007663297586661,0.01414007436217668,,-0.052726289147649874,0.06073069150452115,0.08446956219166557
2015-04-16,0.06525539461360585,,0.12561806400730147,0.04473617469918789,0.038614811334858334,0.04226383829744784,0.02096819289766927,,-0.06696368099500716,0.06182756966404712,0.09986263175757015
