Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2015-01-02,,,,,,,,,,,
2015-01-05,,,,,,,,,,,
2015-01-06,,,,,,,,,,,
2015-01-07,,,,,,,,,,,
2015-01-08,,,,,,,,,,,
2015-01-09,,,,,,,,,,,
2015-01-12,,,,,,,,,,,
2015-01-13,,,,,,,,,,,
2015-01-14,,,,,,,,,,,
2015-01-15,,,,,,,,,,,
2015-01-16,,,,,,,,,,,
2015-01-20,,,,,,,,,,,
2015-01-21,,,,,,,,,,,
2015-01-22,,,,,,,,,,,
2015-01-23,,,,,,,,,,,
2015-01-26,,,,,,,,,,,
2015-01-27,,,,,,,,,,,
2015-01-28,,,,,,,,,,,
2015-01-29,,,,,,,,,,,
2015-01-30,,,,,,,,,,,
2015-02-02,,,,,,,,,,,
2015-02-03,,,,,,,,,,,
2015-02-04,,,,,,,,,,,
2015-02-05,,,,,,,,,,,
2015-02-06,,,,,,,,,,,
2015-02-09,,,,,,,,,,,
2015-02-10,,,,,,,,,,,
2015-02-11,,,,,,,,,,,
2015-02-12,,,,,,,,,,,
2015-02-13,39.32702903747558,,50.719461059570314,15.88204476038615,45.95615819295247,36.00326995849609,37.13532752990723,,33.99846153259277,58.93814417521159,63.309678141276045
2015-02-17,39.403922907511394,,50.779974619547524,15.87716105779012,45.976539357503256,36.04433377583822,37.16460240681966,,33.94371706644694,59.01113408406575,63.40118726094564
2015-02-18,39.51804885864258,,50.891134897867836,15.880491097768148,46.04208946228027,36.10504938761393,37.209271621704104,,33.92807540893555,59.096195729573566,63.53208198547363
2015-02-19,39.6472843170166,,51.01851908365885,15.88981466293335,46.12912254333496,36.184536870320635,37.24737917582194,,33.899400583902995,59.191082127889,63.69051882425944
2015-02-20,39.76626675923665,,51.13384526570638,15.8975843111674,46.2183588663737,36.26050491333008,37.26832542419434,,33.86006088256836,59.262106831868486,63.832075627644855
2015-02-23,39.85314343770345,,51.20488217671712,15.896030521392822,46.27041320800781,36.311248143514,37.27412986755371,,33.82024637858073,59.30898946126302,63.94016723632812
2015-02-24,39.95270055135091,,51.29411786397298,15.904466152191162,46.345327377319336,36.3696174621582,37.29431966145833,,33.7955997467041,59.37103017171224,64.08349901835123
2015-02-25,40.05117886861165,,51.44123446146647,15.91734167734782,46.42740300496419,36.434146118164065,37.314005025227864,,33.7555492401123,59.43138821919759,64.25526224772135
2015-02-26,40.1553227742513,,51.568400065104164,15.93066120147705,46.50534693400065,36.50747426350912,37.33570912679036,,33.70530815124512,59.50606231689453,64.41991640726725
2015-02-27,40.271337890625,,51.682848612467446,15.949530537923177,46.58411687215169,36.58314895629883,37.366245651245116,,33.644164911905925,59.5739990234375,64.60678164164226
2015-03-02,40.39895451863607,,51.80584767659505,15.978833516438803,46.684645334879555,36.68404909769694,37.39703470865886,,33.553399022420244,59.68123842875163,64.8472506205241
2015-03-03,40.49878158569336,,51.88324267069499,16.000366592407225,46.76506779988607,36.7650032043457,37.413186391194664,,33.45884113311767,59.73345324198405,65.05455080668132
2015-03-04,40.591593424479164,,51.95625330607096,16.020790004730223,46.82235539754232,36.83099848429362,37.415457534790036,,33.355514208475746,59.79549395243327,65.26185035705566
2015-03-05,40.665789413452146,,51.98541361490886,16.04210154215495,46.868350219726565,36.89347407023112,37.415962600708006,,33.24934406280518,59.86090380350749,65.45730476379394
2015-03-06,40.70491091410319,,51.975986353556316,16.046541341145833,46.868350219726565,36.9207514444987,37.37936897277832,,33.116394170125325,59.862589009602864,65.58701578776042
2015-03-09,40.766425450642906,,51.96655871073405,16.05919485092163,46.895891698201496,36.95418955485026,37.363721974690755,,32.98202234903972,59.888135019938154,65.73242200215658
2015-03-10,40.80150006612142,,51.909772872924805,16.057641156514485,46.89258664449056,36.967095057169594,37.33040924072266,,32.846465746561684,59.88083635965983,65.83192647298178
