Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2015-01-02,,,,,,,,,,,
2015-01-05,,,,,,,,,,,
2015-01-06,,,,,,,,,,,
2015-01-07,,,,,,,,,,,
2015-01-08,,,,,,,,,,,
2015-01-09,,,,,,,,,,,
2015-01-12,,,,,,,,,,,
2015-01-13,,,,,,,,,,,
2015-01-14,,,,,,,,,,,
2015-01-15,,,,,,,,,,,
2015-01-16,,,,,,,,,,,
2015-01-20,,,,,,,,,,,
2015-01-21,,,,,,,,,,,
2015-01-22,,,,,,,,,,,
2015-01-23,,,,,,,,,,,
2015-01-26,,,,,,,,,,,
2015-01-27,,,,,,,,,,,
2015-01-28,,,,,,,,,,,
2015-01-29,,,,,,,,,,,
2015-01-30,,,,,,,,,,,
2015-02-02,,,,,,,,,,,
2015-02-03,,,,,,,,,,,
2015-02-04,,,,,,,,,,,
2015-02-05,,,,,,,,,,,
2015-02-06,,,,,,,,,,,
2015-02-09,,,,,,,,,,,
2015-02-10,,,,,,,,,,,
2015-02-11,,,,,,,,,,,
2015-02-12,,,,,,,,,,,
2015-02-13,,,,,,,,,,,
2015-02-17,0.058581719405113475,,0.03470411644763982,-0.008895821011643434,0.013095044546386658,0.03392295136263135,0.02399179080945002,,-0.04869339407641826,0.03788436377690507,0.0431388444656724
2015-02-18,0.08922110431126185,,0.06650067109233637,0.006196057907950081,0.04312372836920564,0.050934923982756564,0.03686725560998472,,-0.014084937632206196,0.044376344238667986,0.06290901019624173
2015-02-19,0.1019364177300035,,0.07734265942663798,0.017617185209959363,0.0579710979618695,0.06749662524971867,0.03149100763553703,,-0.025804487876325943,0.04966917700408091,0.07691225088199238
2015-02-20,0.0928024716752498,,0.06987270231864606,0.014528650471147486,0.05899490192007084,0.06396643115972278,0.017018357485926394,,-0.03505788324176973,0.036324485759007485,0.06764818336120904
2015-02-23,0.06618713817395538,,0.042094148809560084,-0.0028626884133684527,0.033737833172558185,0.04180773748167521,0.004645491726744444,,-0.03523542875919672,0.023574610445067812,0.05089211942564931
2015-02-24,0.07623951321941003,,0.05330057728658888,0.015754367654156942,0.049079570101723036,0.048242478688224066,0.016290191720287117,,-0.021950130152271208,0.0314766764168144,0.06827416850883217
2015-02-25,0.07558517721840818,,0.09047967352704789,0.02424736334790345,0.05414261203047066,0.05396110773209273,0.015931853178564603,,-0.03575173131479126,0.03060989773872702,0.08225807129323925
2015-02-26,0.08083766200182474,,0.07883665849319943,0.02516768203315478,0.051520026357769755,0.06136469394428601,0.017569253148225883,,-0.04472552031315746,0.03803799518097262,0.0788535104068746
2015-02-27,0.09112083682800654,,0.07073153615433281,0.03617008026326163,0.052351915765298296,0.06368796247961095,0.024794990059248123,,-0.053964006114536556,0.03466057803310707,0.0905824164458251
2015-03-02,0.10042445481736051,,0.07699663884355723,0.05687184843749149,0.06713253127450325,0.0860219751390725,0.02495912902035413,,-0.07947682017007174,0.05530650709961327,0.11809247609565987
2015-03-03,0.07732494032490211,,0.04692248480043104,0.0412936933255077,0.05335254853345184,0.06835047546411088,0.012989707695273411,,-0.08206492128754894,0.026431217871688117,0.10047380507339176
2015-03-04,0.07177101147389076,,0.04421148337877723,0.03933315256443781,0.03773589646751141,0.05525531715105014,0.0018191427265712434,,-0.08945455898498189,0.031405101987024064,0.10105367268024446
2015-03-05,0.05681830132363541,,0.017306430130512584,0.040938568667271635,0.030051889062288284,0.05221863962094386,0.00040259513717377793,,-0.09103819651570288,0.03304483353762433,0.09466449112838338
2015-03-06,0.029585842061392587,,-0.0055689234556395295,0.008322814406077628,0.0,0.02243066525966575,-0.0288788174239466,,-0.11448971584869738,0.0008413375623035346,0.06166434347379468
2015-03-09,0.04725344999414416,,-0.005609104388487607,0.023979629980715345,0.01785994494953047,0.0275033873549555,-0.012487512791650612,,-0.1153845565906173,0.012827528918319286,0.06922327823196994
